poll_id,year,state,state_po,candidate_name,party,votes,pct,sample_size
103,1976,KENTUCKY,KY,"LAROUCHE, LYNDON, JR.",OTHER,510,0.04,1167142
104,1976,KENTUCKY,KY,"HALL, GUS",OTHER,426,0.04,1167142
105,1976,KENTUCKY,KY,"CAMEJO, PETER",OTHER,350,0.03,1167142
106,1976,LOUISIANA,LA,"CARTER, JIMMY",DEMOCRAT,661365,51.77,1277383
107,1976,LOUISIANA,LA,"FORD, GERALD",REPUBLICAN,587446,45.99,1277383
108,1976,LOUISIANA,LA,"MADDOX, LESTER",OTHER,10058,0.79,1277383
109,1976,LOUISIANA,LA,"HALL, GUS",OTHER,7417,0.58,1277383
110,1976,LOUISIANA,LA,"MCCARTHY, EUGENE """"GENE""""",OTHER,6490,0.51,1277383
111,1976,LOUISIANA,LA,"MACBRIDE, ROGER",LIBERTARIAN,3134,0.25,1277383
112,1976,LOUISIANA,LA,"CAMEJO, PETER",OTHER,1473,0.12,1277383
113,1976,MAINE,ME,"FORD, GERALD",REPUBLICAN,236320,48.93,482968
114,1976,MAINE,ME,"CARTER, JIMMY",DEMOCRAT,232279,48.09,482968
115,1976,MAINE,ME,"MCCARTHY, EUGENE """"GENE""""",OTHER,10874,2.25,482968
116,1976,MAINE,ME,"BUBAR, BENJAMIN """"BEN""""",OTHER,3495,0.72,482968
